NAME,TRANSFER-FACTOR,N,T,STATUS,CONFIG,DISTRIBUTION
aggregation0,0.21569826247371063,1,0,SUCCESS,site_conf_4_site,3
aggregation0,0.21569826247371063,1,1,SUCCESS,site_conf_4_site,3
aggregation0,0.21569826247371063,1,10,SUCCESS,site_conf_4_site,3
aggregation0,0.21569826247371063,1,60,SUCCESS,site_conf_4_site,3
aggregation0,0.21569826247371063,10,0,SUCCESS,site_conf_4_site,3
aggregation0,0.21569826247371063,10,1,SUCCESS,site_conf_4_site,3
aggregation0,0.21569826247371063,10,10,SUCCESS,site_conf_4_site,3
aggregation0,0.21569826247371063,10,60,SUCCESS,site_conf_4_site,3
aggregation0,0.21569826247371063,100,0,SUCCESS,site_conf_4_site,3
aggregation0,0.21569826247371063,100,1,SUCCESS,site_conf_4_site,3
aggregation0,0.21569826247371063,100,10,SUCCESS,site_conf_4_site,3
aggregation0,0.21569826247371063,100,60,SUCCESS,site_conf_4_site,3
aggregation0,0.21053383935298073,0,0,SUCCESS,site_conf_4_site,4
aggregation0,0.21053383935298073,0,1,SUCCESS,site_conf_4_site,4
aggregation0,0.21053383935298073,0,10,SUCCESS,site_conf_4_site,4
aggregation0,0.21053383935298073,0,60,SUCCESS,site_conf_4_site,4
aggregation0,0.21053383935298073,1,0,SUCCESS,site_conf_4_site,4
aggregation0,0.21053383935298073,1,1,SUCCESS,site_conf_4_site,4
aggregation0,0.21053383935298073,1,10,SUCCESS,site_conf_4_site,4
aggregation0,0.21053383935298073,1,60,SUCCESS,site_conf_4_site,4
aggregation0,0.21053383935298073,10,0,SUCCESS,site_conf_4_site,4
aggregation0,0.21053383935298073,10,1,SUCCESS,site_conf_4_site,4
aggregation0,0.21053383935298073,10,10,SUCCESS,site_conf_4_site,4
aggregation0,0.21053383935298073,10,60,SUCCESS,site_conf_4_site,4
aggregation0,0.21053383935298073,100,0,SUCCESS,site_conf_4_site,4
aggregation0,0.21053383935298073,100,1,SUCCESS,site_conf_4_site,4
aggregation0,0.21053383935298073,100,10,SUCCESS,site_conf_4_site,4
aggregation0,0.21053383935298073,100,60,SUCCESS,site_conf_4_site,4
distribution0,0.9920761438148666,0,0,SUCCESS,site_conf_2_site,0
distribution0,0.9920761438148666,0,1,SUCCESS,site_conf_2_site,0
distribution0,0.9920761438148666,0,10,SUCCESS,site_conf_2_site,0
distribution0,0.9920761438148666,0,60,SUCCESS,site_conf_2_site,0
distribution0,0.9920761438148666,1,0,SUCCESS,site_conf_2_site,0
distribution0,0.9920761438148666,1,1,SUCCESS,site_conf_2_site,0
distribution0,0.9920761438148666,1,10,SUCCESS,site_conf_2_site,0
distribution0,0.9920761438148666,1,60,SUCCESS,site_conf_2_site,0
distribution0,0.9920761438148666,10,0,SUCCESS,site_conf_2_site,0
distribution0,0.9920761438148666,10,1,SUCCESS,site_conf_2_site,0
distribution0,0.9920761438148666,10,10,SUCCESS,site_conf_2_site,0
distribution0,0.9920761438148666,10,60,SUCCESS,site_conf_2_site,0
distribution0,0.9920761438148666,100,0,SUCCESS,site_conf_2_site,0
distribution0,0.9920761438148666,100,1,SUCCESS,site_conf_2_site,0
distribution0,0.9920761438148666,100,10,SUCCESS,site_conf_2_site,0
distribution0,0.9920761438148666,100,60,SUCCESS,site_conf_2_site,0
distribution0,0.9920761438148666,0,0,SUCCESS,site_conf_2_site,1
